Shriram Aggressive Hybrid Fund- Direct Growth | 31-01-2022–30-04-2026 | Total 47.58% | CAGR 9.61% | Years: 2022: 6.74%, 2023: 17.35%, 2024: 11.99%, 2025: 11.04%, 2026: 6.94%
Shriram Aggressive Hybrid Fund- Direct- IDCW | 31-01-2022–30-04-2026 | Total 46.63% | CAGR 9.44% | Years: 2022: 6.71%, 2023: 17.20%, 2024: 11.80%, 2025: 10.87%, 2026: 6.92%
Shriram Aggressive Hybrid Fund- Regular Growth | 31-01-2022–30-04-2026 | Total 37.80% | CAGR 7.85% | Years: 2022: 5.41%, 2023: 15.79%, 2024: 10.35%, 2025: 9.35%, 2026: 6.78%
Shriram Aggressive Hybrid Fund- Regular-IDCW | 31-01-2022–30-04-2026 | Total 37.83% | CAGR 7.85% | Years: 2022: 5.41%, 2023: 15.79%, 2024: 10.37%, 2025: 9.35%, 2026: 6.78%
Shriram Balanced Advantage Fund - Direct Growth | 31-01-2022–30-04-2026 | Total 36.42% | CAGR 7.59% | Years: 2022: 7.05%, 2023: 14.68%, 2024: 7.89%, 2025: 8.66%, 2026: 5.68%
Shriram Balanced Advantage Fund - Direct- IDCW | 31-01-2022–30-04-2026 | Total 35.65% | CAGR 7.45% | Years: 2022: 6.97%, 2023: 14.57%, 2024: 7.78%, 2025: 8.48%, 2026: 5.67%
Shriram Balanced Advantage Fund - Regular Growth | 31-01-2022–30-04-2026 | Total 26.34% | CAGR 5.66% | Years: 2022: 5.44%, 2023: 12.96%, 2024: 6.10%, 2025: 6.94%, 2026: 5.52%
Shriram Balanced Advantage Fund - Regular-IDCW | 31-01-2022–30-04-2026 | Total 26.50% | CAGR 5.70% | Years: 2022: 5.44%, 2023: 12.96%, 2024: 6.09%, 2025: 6.95%, 2026: 5.52%
Shriram ELSS Tax Saver Fund - Direct Growth | 31-01-2022–30-04-2026 | Total 39.64% | CAGR 8.19% | Years: 2022: 6.58%, 2023: 23.31%, 2024: 12.30%, 2025: 9.23%, 2026: 8.59%
Shriram ELSS Tax Saver Fund - Direct- IDCW | 31-01-2022–30-04-2026 | Total 39.01% | CAGR 8.07% | Years: 2022: 6.51%, 2023: 23.18%, 2024: 12.17%, 2025: 9.15%, 2026: 8.58%
Shriram ELSS Tax Saver Fund - Regular Growth | 31-01-2022–30-04-2026 | Total 30.02% | CAGR 6.38% | Years: 2022: 5.01%, 2023: 21.57%, 2024: 10.62%, 2025: 7.65%, 2026: 8.44%
Shriram ELSS Tax Saver Fund - Regular-IDCW | 31-01-2022–30-04-2026 | Total 30.12% | CAGR 6.40% | Years: 2022: 5.01%, 2023: 21.57%, 2024: 10.73%, 2025: 7.63%, 2026: 8.44%
Shriram Flexi Cap Fund - Direct Growth | 31-01-2022–30-04-2026 | Total 40.06% | CAGR 8.26% | Years: 2022: 6.83%, 2023: 22.70%, 2024: 11.59%, 2025: 8.67%, 2026: 8.41%
Shriram Flexi Cap Fund - Direct-IDCW | 31-01-2022–30-04-2026 | Total 39.28% | CAGR 8.12% | Years: 2022: 6.72%, 2023: 22.52%, 2024: 11.38%, 2025: 8.59%, 2026: 8.40%
Shriram Flexi Cap Fund - Regular Growth | 31-01-2022–30-04-2026 | Total 30.18% | CAGR 6.41% | Years: 2022: 5.22%, 2023: 20.94%, 2024: 9.83%, 2025: 7.08%, 2026: 8.25%
Shriram Flexi Cap Fund - Regular-IDCW | 31-01-2022–30-04-2026 | Total 30.18% | CAGR 6.41% | Years: 2022: 5.22%, 2023: 20.92%, 2024: 9.85%, 2025: 7.08%, 2026: 8.25%
Shriram Liquid Fund - Direct Plan Growth Option | 30-11-2024–30-04-2026 | Total 9.11% | CAGR 6.36% | Years: 2024: 0.58%, 2025: 5.64%, 2026: 1.63%
Shriram Liquid Fund - Regular Plan Growth Option | 30-11-2024–30-04-2026 | Total 8.89% | CAGR 6.22% | Years: 2024: 0.57%, 2025: 5.50%, 2026: 1.60%
Shriram Money Market Fund - Direct Plan Growth Option | 31-03-2026–30-04-2026 | Total 0.61% | CAGR 7.74% | Years: 2026: 0.61%
Shriram Money Market Fund - Regular Plan Growth Option | 31-03-2026–30-04-2026 | Total 0.60% | CAGR 7.53% | Years: 2026: 0.60%
Shriram Multi Asset Allocation Fund - Direct Growth | 31-10-2023–30-04-2026 | Total 36.79% | CAGR 13.37% | Years: 2023: 6.55%, 2024: 8.06%, 2025: 16.78%, 2026: 6.07%
